                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                 1.2116,                0.31827,                0.36206,                0.83269,                 1.2613,                0.90557,                0.95556,                0.97003,                0.61435,                0.93678,                0.98795,                0.98743,                0.98164,                 1.1824,                0.19923,                0.11417,                0.75807,                 1.4407,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2209,                 0.3412,                0.40956,                0.81563,                 1.2645,                0.92652,                0.93333,                0.96265,                0.61645,                0.94916,                0.95556,                0.98683,                0.98038,                 1.1988,                0.19717,                0.11475,                0.75608,                 1.4599,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2254,                0.32134,                 0.4041,                0.83631,                 1.2781,                0.87379,                0.92319,                0.91845,                0.58051,                0.91623,                0.97232,                0.97231,                0.96118,                 1.1696,                 0.2507,                0.11738,                0.72307,                 1.4451,               0.001208,               0.001208,               0.001208
                     43,                 1.1538,                0.27706,                0.37986,                0.76542,                 1.2524,                0.93124,                0.90302,                 0.9367,                0.58225,                  0.977,                  0.944,                0.98878,                0.98079,                 1.1704,                0.24342,                0.11804,                0.72656,                 1.4094,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.1846,                 0.2418,                0.40934,                0.79441,                 1.2482,                0.95317,                 0.9047,                0.95933,                0.58946,                0.97995,                      1,                  0.995,                0.98693,                 1.2343,                0.24167,                0.12002,                0.77247,                 1.4081,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2228,                0.28852,                0.35148,                 0.7888,                 1.2552,                0.90861,                0.93333,                0.95168,                 0.5942,                0.93519,                0.96207,                0.98718,                0.96634,                 1.2443,                0.22934,                0.11771,                0.75827,                 1.4112,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1765,                0.28701,                0.39548,                0.80177,                 1.2441,                 0.8685,                0.88889,                0.95742,                0.60602,                0.91059,                0.93333,                0.97494,                0.95592,                  1.171,                0.21559,                0.12227,                0.79366,                 1.3538,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1149,                0.23874,                0.38179,                0.78364,                 1.2003,                0.82701,                      1,                0.96763,                0.61781,                 0.8831,                0.93333,                0.98489,                0.96449,                 1.1271,                0.22496,                0.11702,                0.79411,                 1.3482,               0.001109,               0.001109,               0.001109
                     48,                 1.2035,                0.23447,                0.45043,                 0.8126,                 1.2505,                 0.9721,                      1,                0.99457,                0.60938,                 0.9721,                      1,                0.99457,                0.96898,                 1.1701,                0.25141,                  0.125,                0.74504,                 1.4017,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.1096,                 0.2215,                 0.3535,                0.77101,                 1.2114,                0.97023,                      1,                0.98935,                0.61889,                0.97023,                      1,                0.98935,                0.97441,                 1.1894,                0.25235,                 0.1321,                0.74537,                 1.3942,              0.0010694,              0.0010694,              0.0010694
